"","catch","NP_mean"
"13",34191836,142.167561751238
"27",4274084,88.9379899089611
"28",3855303.25,64.334153182454
"29",850011.625,82.7329275478166
"30",1242918.375,312.101116747063
"31",366395.75,334.649720209406
"32",373988.125,356.915978441665
"33",6156999.5,189.973124484498
"34",2210549.75,304.044644367472
"35",1448375.125,652.616909049546
"36",10922442,261.050809264718
"37",14002746,263.220576060914
"38",11095256,110.540486121814
"39",327734.4375,22.1919648056787
"42",399262.84375,18.5741715665875
"43",5614842,14.6635527535878
"44",27708626,190.103682364567
